数据源,数据库,数据表,字段名,识别标签,当前标签,识别密级,当前密级
bytehousecdw,default-roufo_bh_cdw,coral_2,hour,,,,2
bytehousecdw,default-roufo_bh_cdw,coral_2,age,,,,2
bytehousecdw,default-roufo_bh_cdw,coral_2,date,,,,2
bytehousecdw,default-roufo_bh_cdw,tianyu_coral,hour,,,,2
bytehousecdw,default-roufo_bh_cdw,tianyu_coral,age,,,,2
bytehousecdw,default-roufo_bh_cdw,tianyu_coral,date,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_1,name,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_1,age,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_1,date,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_4,name,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_4,age,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_4,date,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_7,name,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_7,age,,,,2
bytehousecdw,default-zbc_test_db,test_create_table_7,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_2,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_2,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_2,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_3,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_3,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_3,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_4,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_4,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_4,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_5,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_5,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_5,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_6,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_6,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_6,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_7,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_7,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_7,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_8,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_8,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_8,date,,,,2
bytehousecdw,default-zbc_test_db,test_table_9,name,,,,2
bytehousecdw,default-zbc_test_db,test_table_9,age,,,,2
bytehousecdw,default-zbc_test_db,test_table_9,date,,,,2
bytehousecdw,zzhtest-triton_db,table01,id,root/柔佛线上/字段名,,2,2
bytehousecdw,zzhtest-triton_db,table01,name,root/柔佛线上/字段名,,2,2
